               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.019456,            0.018572,           0.0036776,             0.91702,             0.88528,             0.93977,             0.75522,            0.028114,           0.0062157,           0.0026397,            0.003334,            0.003334,            0.003334
                 103,            0.019433,            0.019445,           0.0039274,             0.91722,             0.89744,             0.93054,             0.74088,            0.028264,           0.0067195,           0.0031003,            0.003268,            0.003268,            0.003268
                 104,            0.019044,            0.019604,           0.0035988,              0.9644,             0.84666,              0.9433,             0.74234,             0.02804,           0.0065441,           0.0032355,            0.003202,            0.003202,            0.003202
                 105,            0.018956,            0.018777,           0.0033657,             0.85974,             0.94872,             0.94336,              0.7494,            0.028653,           0.0064811,           0.0030886,            0.003136,            0.003136,            0.003136
                 106,            0.018795,             0.01848,           0.0037652,             0.92827,             0.88369,             0.92999,             0.75016,            0.030493,           0.0061793,           0.0026077,             0.00307,             0.00307,             0.00307
                 107,            0.018647,            0.018799,           0.0033253,             0.91329,             0.86023,             0.92716,             0.71038,            0.029534,           0.0066045,           0.0027754,            0.003004,            0.003004,            0.003004
                 108,            0.018647,            0.018455,           0.0038214,             0.91495,             0.87985,             0.91936,             0.72129,            0.030336,           0.0063788,           0.0026176,            0.002938,            0.002938,            0.002938
                 109,            0.018399,            0.018766,           0.0036184,             0.88337,             0.93629,             0.93382,             0.73118,            0.030564,           0.0064939,           0.0037722,            0.002872,            0.002872,            0.002872
                 110,            0.018482,            0.019302,           0.0033804,             0.88678,             0.92675,             0.93486,             0.74646,              0.0299,           0.0064207,           0.0055063,            0.002806,            0.002806,            0.002806
                 111,            0.018838,              0.0186,           0.0037372,             0.88563,             0.94679,             0.92518,             0.74673,            0.029628,           0.0065567,           0.0065855,             0.00274,             0.00274,             0.00274
                 112,            0.018406,             0.01835,           0.0035443,             0.88799,             0.91088,             0.93425,             0.75734,            0.029003,           0.0062301,           0.0059317,            0.002674,            0.002674,            0.002674
                 113,            0.018055,            0.019228,           0.0037021,             0.93539,             0.84678,             0.91598,             0.75986,            0.029458,            0.006434,             0.00743,            0.002608,            0.002608,            0.002608
                 114,            0.018368,            0.018401,           0.0035446,             0.90808,             0.91583,             0.92159,             0.75163,            0.029422,           0.0061788,           0.0064935,            0.002542,            0.002542,            0.002542
                 115,            0.018352,            0.018012,           0.0035411,             0.90831,             0.89806,              0.9275,             0.76165,            0.029389,           0.0064718,           0.0052533,            0.002476,            0.002476,            0.002476
                 116,            0.018139,            0.018379,           0.0032868,             0.94004,             0.85947,             0.93442,             0.75009,            0.028756,           0.0067707,            0.003957,             0.00241,             0.00241,             0.00241
                 117,            0.017492,            0.017393,           0.0033471,             0.93003,             0.91026,             0.94307,              0.7587,            0.028819,           0.0071645,           0.0028018,            0.002344,            0.002344,            0.002344
                 118,             0.01823,            0.018306,            0.003506,             0.95434,             0.87124,             0.93631,             0.75086,            0.028038,            0.007002,           0.0032901,            0.002278,            0.002278,            0.002278
                 119,            0.017752,            0.018656,            0.003422,             0.93485,             0.85452,             0.92779,             0.74234,             0.02783,           0.0067448,           0.0043858,            0.002212,            0.002212,            0.002212
                 120,            0.017789,             0.01749,           0.0035893,             0.93038,             0.88191,             0.94494,             0.74543,            0.028547,           0.0069845,           0.0041638,            0.002146,            0.002146,            0.002146
                 121,            0.017192,            0.017505,           0.0031633,             0.91947,             0.89806,             0.94997,             0.75368,            0.029802,           0.0071067,           0.0050082,             0.00208,             0.00208,             0.00208
                 122,            0.017574,            0.017814,           0.0030934,             0.86999,             0.95721,             0.94898,             0.77693,            0.028559,           0.0064644,           0.0040052,            0.002014,            0.002014,            0.002014
                 123,            0.017347,            0.017252,           0.0032466,             0.94584,             0.87495,             0.94559,             0.76553,            0.028278,           0.0064332,           0.0040022,            0.001948,            0.001948,            0.001948
                 124,            0.017628,            0.017241,           0.0037523,             0.91025,             0.91659,             0.93605,             0.76407,            0.027909,           0.0065397,            0.004762,            0.001882,            0.001882,            0.001882
                 125,            0.017347,            0.017133,           0.0034026,             0.89412,             0.89977,             0.93188,              0.7534,            0.028156,           0.0067287,           0.0051242,            0.001816,            0.001816,            0.001816
                 126,            0.017184,            0.017245,           0.0033788,             0.92647,             0.91088,             0.93485,             0.76329,            0.028714,           0.0068785,           0.0059673,             0.00175,             0.00175,             0.00175
                 127,            0.017055,            0.017528,           0.0033998,              0.8973,             0.93495,             0.93702,             0.76194,            0.029576,           0.0065339,           0.0051439,            0.001684,            0.001684,            0.001684
                 128,            0.016719,             0.01648,           0.0032747,             0.89986,             0.92065,             0.93446,             0.77152,            0.028946,           0.0064928,           0.0045691,            0.001618,            0.001618,            0.001618
                 129,            0.016991,            0.017198,           0.0031891,             0.88239,              0.9363,             0.93522,             0.77217,            0.028827,           0.0064455,           0.0045814,            0.001552,            0.001552,            0.001552
                 130,            0.016882,            0.016574,           0.0033654,             0.92039,             0.90595,             0.93315,             0.77021,            0.029303,           0.0065115,           0.0036294,            0.001486,            0.001486,            0.001486
                 131,            0.016963,            0.017158,           0.0030987,             0.91134,             0.89133,             0.93157,             0.76738,            0.029293,           0.0064716,           0.0033846,             0.00142,             0.00142,             0.00142
                 132,            0.017171,            0.017641,           0.0033817,             0.92487,              0.8667,             0.92836,             0.75605,             0.02958,           0.0068021,           0.0028068,            0.001354,            0.001354,            0.001354
                 133,            0.016733,            0.016654,           0.0031405,             0.91012,             0.88826,             0.93836,             0.76802,            0.028319,           0.0067696,           0.0028769,            0.001288,            0.001288,            0.001288
                 134,            0.016811,            0.017326,           0.0032785,              0.9068,             0.89439,             0.92921,             0.76496,            0.028131,           0.0067645,           0.0029331,            0.001222,            0.001222,            0.001222
                 135,            0.016594,            0.017472,           0.0035103,             0.85282,             0.93583,             0.92259,             0.76927,            0.028213,           0.0067143,           0.0036791,            0.001156,            0.001156,            0.001156
                 136,            0.016251,            0.016848,           0.0031617,             0.91738,              0.8824,             0.93089,             0.75957,            0.028448,           0.0066793,           0.0039837,             0.00109,             0.00109,             0.00109
                 137,            0.016299,            0.016661,           0.0035178,             0.85587,             0.95946,             0.92942,              0.7732,            0.027773,           0.0066016,           0.0050746,            0.001024,            0.001024,            0.001024
                 138,            0.017008,             0.01669,           0.0035141,             0.85968,             0.96151,             0.92632,             0.77002,            0.028136,           0.0066161,           0.0046719,            0.000958,            0.000958,            0.000958
                 139,            0.016509,            0.017402,           0.0033811,             0.86229,             0.97378,              0.9283,             0.76662,            0.027465,            0.006456,           0.0043076,            0.000892,            0.000892,            0.000892
                 140,            0.016919,            0.017124,           0.0035789,             0.85951,             0.97436,             0.93057,             0.76435,            0.028955,           0.0063655,           0.0044064,            0.000826,            0.000826,            0.000826
                 141,            0.016535,            0.015892,           0.0032067,             0.85037,             0.97436,             0.93702,             0.77789,            0.028729,           0.0062699,           0.0036984,             0.00076,             0.00076,             0.00076
                 142,            0.016326,            0.016669,           0.0032228,             0.85636,             0.97399,             0.93249,             0.77186,            0.028892,           0.0063071,           0.0036179,            0.000694,            0.000694,            0.000694
                 143,            0.015727,            0.015888,           0.0030739,             0.85329,             0.96154,             0.92724,             0.77494,            0.029035,           0.0064592,           0.0036529,            0.000628,            0.000628,            0.000628
                 144,            0.015665,            0.015868,           0.0029628,             0.86648,             0.95404,             0.94384,             0.78015,            0.028496,           0.0064586,           0.0034229,            0.000562,            0.000562,            0.000562
                 145,            0.016279,            0.015979,           0.0030372,              0.8976,              0.9359,             0.94575,             0.77846,            0.027959,           0.0064955,           0.0037435,            0.000496,            0.000496,            0.000496
                 146,            0.016195,            0.016153,           0.0032063,              0.9309,             0.90486,              0.9467,             0.77353,            0.028085,           0.0065745,           0.0038129,             0.00043,             0.00043,             0.00043
                 147,            0.016725,            0.016376,           0.0033806,             0.85915,             0.97436,             0.93449,             0.77902,            0.028494,           0.0065505,           0.0036938,            0.000364,            0.000364,            0.000364
                 148,            0.016175,            0.016419,            0.003159,             0.85326,             0.97436,               0.935,             0.77361,            0.028528,           0.0065082,           0.0035149,            0.000298,            0.000298,            0.000298
                 149,            0.016577,             0.01657,           0.0032693,             0.87053,             0.96154,             0.94169,              0.7686,            0.028962,           0.0065079,           0.0034681,            0.000232,            0.000232,            0.000232
