               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.024107,            0.022364,           0.0042632,             0.88456,             0.80151,             0.89073,             0.67907,            0.036021,           0.0072173,           0.0028277,            0.007525,            0.007525,            0.007525
                  77,            0.024034,            0.022186,           0.0043824,             0.90311,             0.86023,             0.91204,              0.6971,            0.031954,           0.0076797,           0.0034424,            0.007492,            0.007492,            0.007492
                  78,            0.023689,            0.022903,           0.0042075,             0.86354,             0.86438,             0.90198,             0.66276,            0.034808,           0.0076926,           0.0027555,            0.007459,            0.007459,            0.007459
                  79,            0.023478,            0.022413,           0.0043385,             0.84953,             0.88524,             0.87839,             0.65027,            0.034046,           0.0073558,           0.0019827,            0.007426,            0.007426,            0.007426
                  80,            0.023484,            0.021472,           0.0040404,             0.87783,             0.90657,             0.91637,             0.70904,            0.035809,           0.0074687,           0.0028021,            0.007393,            0.007393,            0.007393
                  81,            0.023499,            0.020996,            0.004066,             0.89549,             0.84276,             0.89333,             0.64924,            0.037189,           0.0078344,           0.0027263,             0.00736,             0.00736,             0.00736
                  82,            0.022625,            0.022019,           0.0042635,             0.89847,             0.90463,             0.91622,             0.70579,            0.033096,           0.0070904,           0.0028105,            0.007327,            0.007327,            0.007327
                  83,            0.022672,            0.021451,           0.0043332,             0.89856,             0.87954,             0.90679,             0.70442,            0.034777,           0.0070776,           0.0022108,            0.007294,            0.007294,            0.007294
                  84,            0.023191,            0.022029,           0.0046456,             0.86854,             0.92232,             0.92412,             0.68297,            0.032654,           0.0067072,           0.0021187,            0.007261,            0.007261,            0.007261
                  85,            0.023595,            0.021357,           0.0040937,             0.89957,             0.90584,             0.92957,             0.68158,            0.035145,            0.006666,           0.0022733,            0.007228,            0.007228,            0.007228
